Bloomberg;@business;2021-12-27T17:08:04.000Z;‘Most Americans Today Believe the Stock Market Is Rigged, and They’re Right’ New research shows insider trading is everywhere. So far, no one seems to care.;59;185
Bloomberg;@business;2021-12-27T17:05:09.000Z;Fauci Says Domestic Travel Vaccination Rule Should Be Considered President Joe Biden’s medical adviser said a domestic travel vaccination rule should be considered as the omicron variant fuels record Covid-19 case loads in some states and holiday travel continues...;27;26
Bloomberg;@business;2021-12-27T17:03:05.000Z;Bitcoin Loses Luster to Alternative Coins in Up Day for Crypto As a blockbuster year for cryptocurrencies ticks to a close, some of the smallest coins are having a moment.;2;8
Bloomberg Retweeted;@Quicktake;2021-12-27T16:41:13.000Z;2 dams broke Sunday in northeastern Brazil, causing a strong flash flood that forced thousands to flee their homes. Officials are trying to distribute food, mattresses and warm clothing to flood victims 0:;1;31
Bloomberg;@business;2021-12-27T17:00:27.000Z;French Fry Shortage Hits Some Restaurants in Latest Supply Snag The message posted to Instagram late Tuesday by J.G. Melon, a revered New York City burger joint, surely came as a shock to its many fans.;9;25
Bloomberg;@business;2021-12-27T16:59:04.000Z;Activist Investor Starboard Is Pushing for Changes at GoDaddy Activist investor Starboard Value disclosed a stake in website services company GoDaddy Inc. and said it may push for changes to improve the stock’s performance.;1;5
Bloomberg Retweeted;@luxury;2021-12-27T16:25:25.000Z;The Best New Restaurants in Miami, as Chosen by Top Chefs The 13 spots include a clubby Korean steakhouse, Spanish fare in an elevated garden, and superior sushi.;;9
Bloomberg;@business;2021-12-27T16:22:03.000Z;JPMorgan Sees Muni Housing Bonds Besting Other Sectors Next Year Municipal-bond investors seeking shelter from rising rates in 2022 should look to housing bonds, according to JPMorgan Chase & Co.’s lead muni strategist.;3;10
Bloomberg;@business;2021-12-27T16:17:20.000Z;Meta Gains as KeyBanc Sees Strong Holiday Sales for Oculus Headset;6;17
Bloomberg;@business;2021-12-27T16:10:06.000Z;The Hunt for a Single Shot to Defeat Omicron and All Coronaviruses The hardest part about developing a super-vaccine for all coronaviruses could be finding a way to pay for it.;20;18
Bloomberg;@business;2021-12-27T16:05:07.000Z;The legacy of Archbishop Desmond Tutu's activism for equality continues to reverberate among young South Africans, many of whom were not born when the clergyman battled apartheid via AP bloomberg.com Young South Africans Learn of Tutu's Activism for Equality Johannesburg (AP) -- The legacy of Archbishop Desmond Tutu's activism for equality continues to reverberate among young South Africans, many of whom were not born when the clergyman battled apartheid.;6;9
Bloomberg;@business;2021-12-27T16:05:06.000Z;Silicon Valley’s Push Into Cars Is Testing Aptiv's Tech Makeover Aptiv has morphed from bankrupt GM supplier to shrewd tech company. Now, as carmakers change their playbooks, it may have to adapt again.;4;4
Bloomberg Retweeted;@BW;2021-12-27T16:03:55.000Z;Bright Horizons Is Betting Kids Will Return to the Office, Even If Parents Stay Home As the child-care industry crumbles, the largest provider of on-site daycare makes its move on corporate America.;5;13
Bloomberg;@business;2021-12-27T15:59:02.000Z;Miami’s Financial District to Get Another New Luxury Condo Tower Miami-based developer Mast Capital is planning a new 80-story luxury condo tower in the city’s financial district, betting on new arrivals to keep demand strong in a red-hot market.;9;11
Bloomberg;@business;2021-12-27T15:55:05.000Z;Sorry, Wall Street. You're Going to Have to Work New Year's Eve It’s the Grinch That Stole New Year’s.;3;13
Bloomberg;@business;2021-12-27T15:01:07.000Z;NYC’s Mayor Bill De Blasio Says He’ll Decide ‘Very Soon’ on Governor Run New York City Mayor Bill de Blasio said Monday that he will decide “very, very soon” on whether to run for governor of New York state.;22;19
Bloomberg;@business;2021-12-27T14:58:03.000Z;NBA Covid Cases Still Rising as Expanded Testing Begins (AP) -- The way Miami's Caleb Martin sees things, he's lucky.;5;7
Bloomberg;@business;2021-12-27T14:57:03.000Z;Mother Teresa’s Charity Barred From Receiving Foreign Funds;5;21
Bloomberg;@business;2021-12-27T14:49:05.000Z;E.O. Wilson, Known as ‘Father of Biodiversity,’ Dies at 92 E.O. Wilson, the former Harvard University biologist and Pulitzer Prize winner whose study of ants and human behavior made him one of the world’s most influential scientists and prompted his calls...;4;39
