sentence,sentiment_rate,prediction
volunteer dies sheep charges therapy farm kim taylor went cardiac arrest attacked caring livestock massachusetts farm police said,-0.012,0
elusive truth behind attack french soccer star assault top women player made headlines masked men metal bar teammate arrested weeks later new details suggest original story might wrong,-0.1391,0
michael steinhardt billionaire surrenders million stolen relics hedge fund pioneer barred life buying antiquities turned stolen objects decorated homes office,0.0643,1
instagram says parental controls arrive march adam mosseri head company expected face questions lawmakers week whether social media harms children,0.0671,1
biden supreme court commission prepares vote final report draft version document flagged deep disputes court expansion exploring phasing term limits might work,0.1014,1
ahead biden democracy summit china says also democracy beijing argues system represents distinctive form democracy one dealt better west challenges like pandemic,-0.4073,0
best movies even film great filmgoing truly wonderful releases ranging music docs musicals westerns plain weird,0.0003,1
chanel tiktok beauty advent calendar controversy social media users feeling christmas spirit box mini lipsticks branded stickers,0.0044,1
trevor noah suggests sending marjorie taylor greene beijing want get back china marjorie taylor greene stands noah said u diplomatic boycott olympics,0.0248,1
germany new chancellor revive left europe olaf scholz wants win back workers defected populist far right success could make model social democrats everywhere,0.071,1
supply chain crisis unfolded highly intricate interconnected global supply chain upheaval one way another much crisis traced outbreak covid,-0.0558,0
drake removes competition grammy awards superstar rapper singer long critic awards nominated two categories best rap album best rap performance,0.1125,1
opinion glimmer justice death penalty states halting executions guilty verdicts ahmaud arbery case given us slightest bit hope change,-0.0786,0
biden expected offer warnings alternatives call putin president biden hold high stakes video call vladimir v putin russia tuesday,0.4902,1
company called air ghislaine bought helicopter million jeffrey epstein money,-0.1157,0
drake withdrawal grammy awards latest complication recording academy struggled prevent exodus among artists complained poor win record black artists prestigious categories,-0.0881,0
trump media company investigated financing deal financing company told investors deal talks weeks c e held private videoconference possible deal donald trump,0.2608,1
omicron fast moving perhaps less severe early reports suggest researchers south africa variant spreading quickly say may cause less serious covid cases forms virus unclear whether hold true,0.0299,1
chris cuomo says end radio show two days cnn firing anchor dismissed cnn weekend amid inquiry help gave brother allegation sexual misconduct denies,-0.096,0
devin nunes quit house take trump media company california republican emerged one donald j trump pugnacious defenders chose trump media firm potentially powerful new post congress,0.1487,1
justice department closes emmett till investigation without charges department said could corroborate book claim central witness recanted statements emmett black teenager killed two white men,-0.0014,0
grammys remove taylor swift others olivia rodrigo nomination swift jack antonoff st vincent credited sour awards count interpolations rerecorded quotations songs toward album year consideration,-0.0064,0
older american weathering pandemic share story want hear,-0.0896,0
france closing nightclubs four weeks officials said monday saying large share new infections young people difficult wear masks clubs,-0.1097,0
total chaos floods bring death devastation dairies near record flooding washington state drowned cattle demolished homes damaged equipment broken supply chains making even harder recover,0.0397,1
toyota spend billion n c electric car battery plant plant employ people located outside greensboro,-0.0196,0
stricter coronavirus testing rules take effect travelers flying u inbound travelers must show negative result test taken day departure requirement say may hard satisfy,-0.1898,0
exxon mobil aims net zero emissions operations permian basin exxon plans reduce greenhouse gas emissions across business bit goal include offsetting emissions customers car truck owners airlines,-0.3264,0
without roe v wade legislatures states would almost certainly move ban substantially restrict access abortion,-0.0476,0
justice dept files voting rights suit texas new map department said state redistricting plan would violate voting rights act discriminating minority voters,-0.1513,0
hawaii braces rain storm lashes region parts islands could see much inches rain tuesday meteorologists said,0.0735,1
procrastinar es un asunto de holgazaner sino de manejo de las emociones published postergar las tareas pendientes es una incapacidad para administrar el tiempo sino una manera de enfrentar las emociones desafiantes estados de nimo negativos generados por ciertas responsab,1.0,1
three group missionaries kidnapped haiti released u christian aid group said three people released group kidnapped gang haiti two released last month,-0.1835,0
inside tesla elon musk pushed unflinching vision self driving cars automaker may undermined safety designing autopilot driver assistance system fit chief executive vision former employees say,-0.0281,0
amnon shashua chief executive mobileye former tesla supplier said musk might exaggerate capabilities company technology statements taken seriously,0.029,1
san francisco restaurant apologizes asking police officers leave uniformed officers sat staff members asked leave workers felt uncomfortable officers weapons restaurant said,0.0873,1
new york unearthing brook buried century ago plan daylight tibbetts brook bronx would one city ambitious green infrastructure improvements,-0.032,0
aung san suu kyi falls myanmar democratic hopes move ousted civilian leader faces years custody sentenced first several charges absence new generation younger progressive politicians emerging,-0.0736,0
cruise ship returns new orleans covid cases aboard norwegian cruise line ship carrying people made stops belize honduras mexico crew member probably omicron variant health officials said,-0.1651,0
trial ghislaine maxwell death jeffrey epstein kind justice possible without,-0.0027,0
china nears reckoning property firms face tough deadlines evergrande kaisa must come hundreds millions dollars days beijing sought reassure markets overall signaled might let evergrande fail,0.0911,1
live updates myanmar court set announce first verdicts aung san suu kyi trial,0.0129,1
myanmar ousted president capital mayor face verdicts,0.0578,1
range charges aung san suu kyi supporters see aimed ending political career,-0.1257,0
biggest spenders coming back time soon even omicron arrival china discouraging citizens traveling abroad huge impact global tourism,0.0415,1
best podcasts shows chippendales notorious hollywood bomb search perfect pasta shape immediate aftermath among worthy attention,-0.003,0
norodom ranariddh royal player cambodian politics dies rode wave royalist sentiment win united nations sponsored election later ousted power struggle co prime minister,0.0611,1
gifts last forever extremely close appreciated gifts trendiest ones ones last forever picks buy life gifts,-0.3098,0
syria ruins drug empire flourishes powerful associates syria president bashar al assad making selling captagon illegal amphetamine creating new narcostate mediterranean,0.1057,1
dave grohl bessie smith new books music iconoclasts memoirs john lurie stevie van zandt biography aaliyah,0.0175,1
bitcoin boom fueled cheap power empty plants rules cryptocurrency miners flocking new york faded industrial towns prompting concern environmental impact huge computer farms,0.0231,1
season pop culture memoirs smith elvira lisa schwarzbaum reviews selection books also includes wil haygood colorization qualifies invaluable national memoir,0.154,1
driving putin ukraine brinkmanship tactical reasons threatening invasion real cause may lie kremlin fixation righting sees historical injustice,0.1056,1
ex senator david perdue run governor georgia mr perdue ally donald trump challenge incumbent governor brian kemp republican primary,0.1593,1
